file,extension,path,lang_furniture_name,lang_furniture_description
accentlamp,.lang,furniture\lang\german\accentlamp.lang,Akzent-Lampe,Eine moderne Interpretation einer Nachttischlampe.
ancienttablet,.lang,furniture\lang\german\ancienttablet.lang,Antike Tafel,"Diese Tafel trägt eine seltsame Inschrift. Sie wurde auf einen großen Sockel gestellt, bereit für eine Ausstellung."
anvil,.lang,furniture\lang\german\anvil.lang,Amboss,"Handwerksstation. Benutze diesen Amboss, um jederzeit von deiner Höhle aus auf die Rezepte der Maulwurfsschmiede zugreifen zu können."
artisteasel,.lang,furniture\lang\german\artisteasel.lang,Künstlerstaffelei,Eine Staffelei aus hellen Holzbrettern. Eine leere Leinwand ruht auf dem Regal.
artistsupplies,.lang,furniture\lang\german\artistsupplies.lang,Künstlerbedarf,"Möchtest du ein Meisterwerk erschaffen? Dieses Set hat alles, was du brauchst!"
barbell,.lang,furniture\lang\german\barbell.lang,Langhantel,Das sieht lächerlich schwer aus! Wie könnte eine Katze das heben?
barrel,.lang,furniture\lang\german\barrel.lang,Fass,"Ein rundes, genietetes Fass mit einem hölzernen Deckel."
basaltcolumn,.lang,furniture\lang\german\basaltcolumn.lang,Basaltsäule,Ein Cluster von vulkanischem Basaltgestein.
basicbed,.lang,furniture\lang\german\basicbed.lang,Einfaches Bett,Nicht mehr als eine Matratze auf dem Boden mit einer kratzigen alten Bettdecke.
bedsidelamp,.lang,furniture\lang\german\bedsidelamp.lang,Nachttischlampe,Eine von Menschenhand gefertigte Lampe mit einem lichtstreuenden Schirm.
birdcage,.lang,furniture\lang\german\birdcage.lang,Vogelkäfig,"Ein hoher Vogelkäfig aus Messing auf einem Ständer, der eine fröhliche Elster beherbergt."
blackcrystallamp,.lang,furniture\lang\german\blackcrystallamp.lang,Schwarze Kristall-Lampe,"Eine eigenartige Lampe, hergestellt aus getrockneten Lehmziegeln, verziert mit tiefschwarzen Kristallen, die schwach von innen leuchten."
bluetome,.lang,furniture\lang\german\bluetome.lang,Blauer Foliant,"Ein dickes Buch, das Wissen zu einer Vielzahl von Themen enthält."
bookstack,.lang,furniture\lang\german\bookstack.lang,Bücherstapel,"Mehrere bunte Bücher, die in einer Reihe aufgereiht sind. Wovon handeln sie wohl?"
bouldergems,.lang,furniture\lang\german\bouldergems.lang,Felsbrocken (Edelsteine),"Ein riesiger Felsen mit sichtbaren Kristallen, die auf der Oberfläche wachsen. Welche Edelsteine könnten im Inneren versteckt sein?"
boulderplain,.lang,furniture\lang\german\boulderplain.lang,Felsbrocken (schlicht),"Ein riesiger Felsbrocken, der aus einer dunklen Höhle herausgeholt wurde."
brickfireplace,.lang,furniture\lang\german\brickfireplace.lang,Ziegelstein-Kamin,Eine warme Feuerstelle aus Ziegeln und Stein. Ein gemütliches Feuer im Inneren wirft einen warmen Schein umher.
bronzestructure,.lang,furniture\lang\german\bronzestructure.lang,Bronze-Struktur,"Ein winziges, aber schweres Dekorationsstück aus einem einzigen chaotisch geschlungenen Bronzedraht."
bugcollection,.lang,furniture\lang\german\bugcollection.lang,Käfersammlung,"Jemand hat viel Zeit damit verbracht, all diese Käfer zu jagen und auf diesem Brett anzuordnen!"
campfire,.lang,furniture\lang\german\campfire.lang,Lagerfeuer,"Ein fröhliches Feuer, angefacht durch abgeschnittene Baumäste. Es wirft ein warmes Licht auf die Umgebung."
candle,.lang,furniture\lang\german\candle.lang,Kerze,Eine Wachskerze auf einem Messingständer. Sie scheint seltsamerweise nie abzubrennen.
cargobox,.lang,furniture\lang\german\cargobox.lang,Frachtkiste,Eine hölzerne Kiste zum Aufbewahren und Versenden von Waren.
cargoboxempty,.lang,furniture\lang\german\cargoboxempty.lang,Frachtkiste - leer,Eine hölzerne Kiste zum Aufbewahren und Versenden von Waren. Sie ist leer.
cargochest,.lang,furniture\lang\german\cargochest.lang,Frachttruhe,Eine lange Holzkiste zum Aufbewahren und Versenden von Waren.
carvedpumpkin,.lang,furniture\lang\german\carvedpumpkin.lang,Geschnitzter Kürbis,"Ein festlicher Kürbis, in dessen Vorderseite ein grimmiges Gesicht geschnitzt wurde. Eine warme Kerze wurde ins Innere gestellt, die den Kürbis in ein unheilvolles Licht taucht."
catbed,.lang,furniture\lang\german\catbed.lang,Katzenbett,Ein kreisförmiges Katzenbett mit rotem Karomuster auf der Außenseite und einem weichen Innenraum. Perfekt zum Einkuscheln für ein Mittagsschläfchen.
catplush,.lang,furniture\lang\german\catplush.lang,Katzenplüschtier,"Ein kleines katzenförmiges Spielzeug aus sehr weichem Stoff, das mit Flausch gefüllt ist."
caverock,.lang,furniture\lang\german\caverock.lang,Höhlenfelsen,"Ein brauner Felsen, wie du ihn in einer Höhle finden könntest."
cavetable,.lang,furniture\lang\german\cavetable.lang,Höhlentisch,Ein niedriger Tisch mit einer Platte aus Höhlengestein.
