file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
anonymousgift,.lang,mail\lang\german\anonymousgift.lang,Günstige Nachrichten,"Sehr geehrte Katze #player_name#,",deine Wege sind bekannt unter den Sternen und dein Geist wird hoch geschätzt. Du hast mächtige Freunde an erhabenen Orten gesammelt. Bitte akzeptiere diese kleine Hommage an deine Größe.,~ ???
anonymouswarning,.lang,mail\lang\german\anonymouswarning.lang,AcHTunG,"#player_name#,","VoRSicHT! Du SPieLSt MiT KRäFTen, DiE dU niCHt VeRSteHst. FaHRe NIchT fORt, DeN GeHÖRntEN zU vERfoLGeN, SoNSt DRohT STraFE!!",~ ???
autumnalert,.lang,mail\lang\german\autumnalert.lang,Der Herbst ist da!,"Hallo, #player_name#,","können Sie den Wind in Ihrem Fell spüren? Wenn das Wetter kälter wird, verlangsamt sich alles in der Wildnis. Nehmen Sie sich etwas Zeit, um Beute und Kräuter zu sammeln, bevor es anfängt zu schneien. Sie werden sich später selbst danken. Halten Sie auch Ausschau nach wilden Pilzen!",Von #npc_name_coco#
coldbuttercup,.lang,mail\lang\german\coldbuttercup.lang,Mir ist kalt,"Hallo, #player_name#,","Ich friere wirklich. Ist es dieses Jahr kälter als sonst? Ich habe genug von all diesem Schnee. Ich bin bereit, dass es wieder warm ist. Hey, wenn du etwas Warmes findest, bring es mir bitte, okay?",Von #npc_name_buttercup#
congratskittensbob,.lang,mail\lang\german\congratskittensbob.lang,Wie schick.,Ist das wahr?,"Ich habe gehört, dass du in den nächsten Monaten sehr beschäftigt sein wirst! Was für ein Segen es sein muss. Jedenfalls, hier ist eine Mahlzeit, falls du keine Zeit gefunden hast, auf die Jagd zu gehen.",Viel Glück! Von Bob
congratskittenschamp,.lang,mail\lang\german\congratskittenschamp.lang,Mehr für dich?,"Was geht ab, #player_name#?","Wow, deine Familie wird ziemlich groß! Sechs von euch jetzt? Das ist verrückt. Hier ist etwas Geld für deine Ausgaben und so weiter. Viel Glück, ich denke, du wirst es brauchen.",Klingt teuer! – #npc_name_champ#
congratskittenscharlotte,.lang,mail\lang\german\congratskittenscharlotte.lang,Gefundenes Spielzeug,"Hey,","ich habe gehört, dass du jetzt Kinder hast. Cool. Jedenfalls habe ich dieses Spielzeug gefunden, als ich spazieren war. Ich dachte, es könnte vielleicht dir gehören. Wenn nicht, behalte es trotzdem, ich brauche es nicht. Es ist nicht wirklich mein Ding.",Von #npc_name_charlotte#
congratskittenscoco,.lang,mail\lang\german\congratskittenscoco.lang,Neue Kätzchen,Ich habe gerade die Neuigkeiten gehört!,"Ich weiß nicht, wann Sie Zeit haben werden, diesen Brief zu lesen, aber ich wollte mich melden und meine Freude über die Geburt Ihrer Kinder auszudrücken. Wie fühlt es sich an, Eltern zu sein?",Was für eine Freude und herzliche Grüße -#npc_name_coco#
congratskittensember,.lang,mail\lang\german\congratskittensember.lang,Was für eine Freude!,"Liebe Katze #player_name#,","ich habe gehört, dass du vier neue Kätzchen auf die Welt gebracht hast! Was für eine Freude. Wenn du jemals Rat brauchst, komm bitte zu mir. Ich weiß, wie schwierig es am Anfang sein kann. (P.S.: Pfefferminze wirkt Wunder, wenn deine Kleinen nicht gut schlafen!)",Lass von dir hören! #npc_name_ember#
congratskittensrosemary,.lang,mail\lang\german\congratskittensrosemary.lang,Juuuhuuu!!,Ich muss einfach alle Details hören!,"Kätzchen? Und VIER davon? Oh toll, du hattest wirklich einen großen Wurf, nicht wahr? Du musst so schnell wie möglich bei mir vorbeikommen und mir alles darüber erzählen, okay?? Ich habe eine kleine Bestechung angehängt. Ich denke, es ist angemessen. Beeil dich, Schätzchen!",Erzähl mir alles! – #npc_name_rosemary#
congratskittenstalon,.lang,mail\lang\german\congratskittenstalon.lang,Unsere Reihen füllen sich,#player_name#:,"Die neuesten Berichte deuten darauf hin, dass Sie ein Wurf Kätzchen hatten. Gut! Unsere Stadt wird eine neue starke Generation brauchen, um unsere Frontlinien zu stärken.",Herzlichen Glückwunsch. #npc_name_talon#
congratulationsfromalabaster,.lang,mail\lang\german\congratulationsfromalabaster.lang,Frisch verheiratet!,"Liebe Katze #player_name#,","ich möchte als erste Katze gratulieren und Ihnen alles Gute zu Ihrer kürzlichen Hochzeit wünschen! Ich weiß, dass Sie beide sehr glücklich miteinander sein werden. Ich habe ein kleines Geschenk angehängt, um mit Ihnen zu feiern.",Ihre befreundete Katze #npc_name_alabaster#
congratulationsfrombob,.lang,mail\lang\german\congratulationsfrombob.lang,Herzlichen Glückwunsch!,"An #player_name#,","du bist jetzt eine verheiratete Katze! Herzlichen Glückwunsch. Ich weiß, dass ihr beide eurer Leben durch eure Liebe füreinander bereichern werdet. Ich habe diesem Brief ein Hochzeitsgeschenk beigelegt.",Lass von dir hören! #npc_name_bob#
