file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
abirdinthepaw,.lang,tasks\lang\german\abirdinthepaw.lang,Ein Vogel in der Pfote,"Ich habe Lust auf ein paar Zaunkönige als Snack. Wenn eine Katze später in den Wald geht, könnte sie ein paar für mich finden? Danke.","[neutral][green]Zaunkönige[/green] sind kleine Vögel mit runden Körpern und kurzen Beinen. Sobald man einen gefunden hat, sind sie leicht zu identifizieren, aber am Anfang können sie schwer zu entdecken sein.///[happy]Glücklicherweise sind sie ziemlich häufig, so dass es nicht allzu schwierig sein sollte, ein paar zu finden. Ich stelle mir vor, dass eine Katze deines Könnens sehr schnell einen [green]Zaunkönig[/green] finden könnte.","[happy]Wunderbar! Genau das habe ich bestellt. Diese [green]Zaunkönige[/green] werden als Snack am Nachmittag gut passen.///[neutral] Ich danke dir für deine harte Arbeit, #player_name#. Hier sind deine [green]Aufgaben-Tokens[/green] als Belohnung."
acompetition,.lang,tasks\lang\german\acompetition.lang,Ein Wettbewerb,"Alle Katzen aufgepasst! Ich veranstalte einen Wettbewerb, um zu sehen, wer am schnellsten Beute fängt. Die Katze, die gewonnen hat, wird belohnt und darf behalten, was sie fängt.","[playful]Du bist hier, um dich über den Wettbewerb zu erkundigen? Ich dachte, du wärst draußen in der Wildnis und fängst Beute. Schließlich macht das deine Konkurrenz!///[happy]Ich dachte, ein Jagdwettbewerb wäre eine lustige Möglichkeit, die Gemeinschaft in ein freundschaftliches Spiel zu verwickeln.///[neutral]Nimmst du am Wettbewerb teil, #player_name#? Wenn ja, würde ich dir raten, jetzt anzufangen!","[playful]Und das ist das Ende des Wettbewerbs! Du hast bewiesen, dass du die schnellste Katze bei der Jagd in #colony_title_with_article# bist. Das ist keine kleine Leistung!///[happy]Dem ersten Platz gehört die Beute! Hier sind deine [green]Aufgaben-Tokens[/green], wie angekündigt.///[thinking]Ich hoffe, du wirst erwägen, einen Teil deiner Beute dem Vorrat zu spenden, aber du kannst mit deinen Fängen tun, was du willst. Herzlichen Glückwunsch zu deinem Sieg."
aerialwarfare,.lang,tasks\lang\german\aerialwarfare.lang,Luftangriff,"Suche: 1 tropischen Schmetterling. Dieses Board ist anonym, oder?","[hiss][angry]Hey, wie wusstest du, dass ich das war? Ich dachte, die Anschläge an der Aufgabentafel wären anonym. Kannst du dir vorstellen, was passieren würde, wenn die anderen herausfinden würden, dass ich einen [green]tropischen Schmetterling[/green] wollte? Ich wäre gedemütigt!///[thinking]War mein Name wirklich an dem Beitrag angehängt? Ich kann es nicht glauben. Meine Augen müssen mich getäuscht haben.///[angry]Hey, erwähne das nicht gegenüber anderen. Du hast das Angebot entfernt, oder?","[thinking]Nun, ich denke, ich muss mein Versprechen einhalten. Du hast den [green]tropischen Schmetterling[/green] geliefert, also werde ich dir deine [green]Aufgaben-Tokens[/green] wie vereinbart übergeben.///[angry]Wag es nicht, jemand anderem davon zu erzählen! Verstehst du mich?"
ahankering,.lang,tasks\lang\german\ahankering.lang,Ein Verlangen,"Ich habe wirklich Lust auf Forelle! Denkst du, jemand könnte welche für mich auftreiben? Mein Magen und ich wären sehr dankbar!","[shocked]Na, hast du das gehört? Das war mein Magen, der knurrte! Mir wird schwindelig, wenn ich nur an Fisch denke.///[sad]Wenn ich nicht bald meine Pfoten an ein paar [green]Forellen[/green] bekomme, werde ich vielleicht zu einem Nichts schrumpfen! Ich wünschte, ich könnte besser schwimmen, dann könnte ich selbst welche fangen.","[happy]Hey, rieche ich da, was ich denke? Mmmh, [green]Forelle[/green]!///[shocked]Das sind die verlockendsten Fische, die ich je gesehen habe. Die sind noch besser als ich es mir erhofft hatte, #player_name#.///[playful]Ich werde jetzt einfach mal loslegen und reinhauen, wenn es dir nichts ausmacht. Danke für deine Hilfe."
artproject,.lang,tasks\lang\german\artproject.lang,Kunstprojekt,"Ich möchte ein Mosaik aus Kieselsteinen erstellen, aber ich kann keine finden. Weiß jemand anderes, wo ich suchen muss?","[happy]Ich hatte neulich einen Traum von einem wunderschönen Mosaik, das ich gerne mit bemalten Kieselsteinen erstellen würde. Es wird das beste Kunstprojekt sein, das ich je gemacht habe, wenn es fertig ist!///[shocked]Das einzige Problem ist, dass ich keine Kieselsteine finde, die ich verwenden kann. Ich habe überall gesucht! Weißt du, wo sie sich verstecken könnten?","[playful]Oh wow, das ist genau das, was ich gebraucht habe! Ich hatte fast die Hoffnung auf mein Kunstprojekt aufgegeben.///[happy]Ich werde diese [green]Kieselsteine[/green] nehmen und an meinem Projekt arbeiten. Danke, dass du mir geholfen hast, #player_name#."
aspecialtreat,.lang,tasks\lang\german\aspecialtreat.lang,Eine besondere Leckerei,"Hey! Hat irgendjemand etwas extra Katzenminze zu verschenken? Ich wäre jedem dankbar, der mir etwas liefern könnte.","[shocked]Ja, ich war die Katze, die wegen der [green]Katzenminze[/green] gepostet hat. Hättest du zufällig etwas davon übrig?","[playful]Ja, ich dachte, ich rieche etwas [green]Katzenminze[/green]!///[happy]Hast du das nur für mich besorgt, #player_name#? Danke, du bist die beste Katze!"
barkbark,.lang,tasks\lang\german\barkbark.lang,"Borke, Borke!","Ich habe eine Geschichte über einen seltenen Käfer gehört, der nur als ''Borke'' bekannt ist. Er ist selten und wertvoll, genau wie ich. Deshalb muss ich einen solchen Käfer für mich selbst erwerben.","[thinking]Ich war in ein Gespräch vertieft, als jemand den [green]Borkenkäfer[/green] erwähnte.///[playful]Man sagt, dass der [green]Käfer[/green] namens [green]''Borke''[/green] sowohl selten als auch wertvoll ist. Stimmt das, #player_name#?///[neutral]Wenn dem so ist, dann ist er ein Seelenverwandter von mir. Ich wünsche mir einen für mich selbst. Sicherlich verstehst du diesen Wunsch, oder?///[thinking]Du musst schnell handeln, denn es heißt, dass der [green]Borkenkäfer[/green] wieder inaktiv wird, wenn der Frühling wieder kommt.","[happy]Ich verstehe jetzt, warum der [green]Käfer[/green] namens [green]''Borke''[/green] von so vielen Katzen hoch geschätzt wird. Ich habe noch nie ein so schönes Insekt gesehen.///[playful]Es ist angemessen für jemanden wie mich, einen so schönen Käfer zu besitzen. Jetzt ist er in meinen Pfoten, wo er hingehört, genauso wie diese [green]Aufgaben-Tokens[/green] bald da sein werden, wo sie hingehören."
berryblues,.lang,tasks\lang\german\berryblues.lang,Beeren-Blues,"So sehr ich mich auch bemühe, ich kann keine Blaubeeren finden! Ich dachte, sie sollten im Schnee leicht zu erkennen sein, aber anscheinend nicht. Kann mir jemand helfen?","[shocked]Oh, ich kann sie nirgendwo finden! Werde ich jemals die Süße einer [green]Blaubeere[/green] kosten können?","[happy]Wow, das sind die blausten [green]Blaubeeren[/green], die ich je gesehen habe! Glaubst du, dass sie leckerer als der Durchschnitt sein werden?///[playful]Hoffentlich stört es dich nicht, wenn ich sie jetzt esse. Sie sehen köstlich aus!///[happy]Ich schätze es, dass du sie für mich gesammelt hast."
busybee,.lang,tasks\lang\german\busybee.lang,Fleißiges Bienchen,"Die bescheidene Biene ist bekannt für ihre Fähigkeit, die Qualität aller Blumen in ihrer Nähe zu verbessern. Ich möchte einige von ihnen studieren, um ihre geheimen Methoden zu erlernen.","[neutral]Es ist vielen bekannt, dass die bloße Anwesenheit eines Bienenstocks in der Nähe die Qualität aller Wildblumen in der Umgebung verbessert. Wie ist das möglich?///[thinking]Ich versuche, das Rätsel durch sorgfältige Beobachtung und Studium der Kreaturen zu lösen.///[neutral]Wenn ich nur ein paar [green]Bienen[/green] für mich selbst bekommen könnte, könnte meine Forschung viel schneller vorangehen.","[happy]Die werden für meine Forschung gut geeignet sein! Ich sehe, dass sie mit der nötigen Sorgfalt behandelt wurden.///[playful]Natürlich ist es immer klug, mit einer [green]Biene[/green] sehr vorsichtig umzugehen, damit der Stachel nicht den Weg in die eigene Pfote findet!///[happy]Ich bin erfreut, dass du diese für mich gefunden hast. Hier, nimm diese [green]Aufgaben-Tokens[/green] als Bezahlung für deine Bemühungen."
cavein,.lang,tasks\lang\german\cavein.lang,Einsturz,"Ein kürzlicher Felssturz hat unsere wichtigste Route in den Minen blockiert. Wir brauchen eine Katze, die ihn beseitigt!","[neutral]Jedes Mal, wenn wir eine neue Route graben, scheint sich die Höhle gegen uns zu verschwören. Wir haben gestern einen Tunnel gegraben, der jetzt schon mit Schutt gefüllt ist. Typisch für mein Glück.///[neutral]Bist du gekommen, um ihn auszuräumen? Ich habe einige [green]Aufgaben-Tokens[/green] für die erste Katze, die ihre Krallen leiht. Jetzt hör auf mit dem Geplauder und fang an zu arbeiten!","[neutral]Hey, ich habe gehört, dass am Höhleneingang viel gegraben wird. Du musst wirklich ins Schwitzen gekommen sein, oder?///[neutral]Okay, hier ist deine Belohnung. Jetzt zurück an die Arbeit!"
