file,extension,path,lang_furniture_name,lang_furniture_description
accentlamp,.lang,furniture\lang\spanish\accentlamp.lang,Lámpara de mesa,Una versión moderna de una lámpara de noche.
ancienttablet,.lang,furniture\lang\spanish\ancienttablet.lang,Placa antigua,"Esta placa presenta una curiosa inscripción. Ha sido colocada sobre una gran base, lista para exhibirse."
anvil,.lang,furniture\lang\spanish\anvil.lang,Yunque,Estación de trabajo. Usa este yunque para acceder en cualquier momento a las recetas de la Fragua del Topo desde tu guarida.
artisteasel,.lang,furniture\lang\spanish\artisteasel.lang,Caballetes de artista,Un caballete hecho de madera manchada. Un lienzo en blanco se posa sobre la tablilla.
artistsupplies,.lang,furniture\lang\spanish\artistsupplies.lang,Materiales artísticos,¿Quieres crear una obra maestra? ¡Este conjunto tiene todo lo que necesitas!
barbell,.lang,furniture\lang\spanish\barbell.lang,Haltera,¡Se ve absurdamente pesada! ¿Cómo podría un gato levantarla?
barrel,.lang,furniture\lang\spanish\barrel.lang,Barril,Un barril redondo remachado con una tapa de madera.
basaltcolumn,.lang,furniture\lang\spanish\basaltcolumn.lang,Columna de basalto,Una roca volcánica de basalto.
basicbed,.lang,furniture\lang\spanish\basicbed.lang,Cama básica,Poco más que un colchón en el suelo con una vieja manta áspera.
bedsidelamp,.lang,furniture\lang\spanish\bedsidelamp.lang,Lámpara de noche,Una lámpara hecha por humanos con una pantalla difusora de luz.
birdcage,.lang,furniture\lang\spanish\birdcage.lang,Pajarera,"Una pajarera alta de latón con un pie, en la que vive una alegre urraca."
blackcrystallamp,.lang,furniture\lang\spanish\blackcrystallamp.lang,Lámpara de cristal negro,"Una lámpara peculiar hecha con ladrillos de barro, adornada con cristales negros cuyo interior brilla tenuemente."
bluetome,.lang,furniture\lang\spanish\bluetome.lang,Tomo azul,Un libro grueso que contiene conocimientos sobre una amplia variedad de temas.
bookstack,.lang,furniture\lang\spanish\bookstack.lang,Pila de libros,"Varios libros de diferentes colores, apilados. ¿De qué crees que tratan?"
bouldergems,.lang,furniture\lang\spanish\bouldergems.lang,Roca (gemas),Una enorme roca con cristales sobresaliendo de su superficie. ¿Qué gemas habrá en su interior?
boulderplain,.lang,furniture\lang\spanish\boulderplain.lang,Roca (simple),Una enorme roca extraída de una cueva oscura.
brickfireplace,.lang,furniture\lang\spanish\brickfireplace.lang,Chimenea de ladrillos,Un cálido hogar de ladrillo y piedra. El fuego en su interior despide un resplandor agradable.
bronzestructure,.lang,furniture\lang\spanish\bronzestructure.lang,Estructura de bronce,"Una pieza decorativa diminuta pero pesada, hecha de un único alambre de bronce doblado de forma caótica."
bugcollection,.lang,furniture\lang\spanish\bugcollection.lang,Colección de insectos,Alguien pasó mucho tiempo cazando todos estos insectos y ordenándolos sobre la tabla.
campfire,.lang,furniture\lang\spanish\campfire.lang,Fogata,"Un fuego vivaz, alimentado por ramas de árbol. Irradia una cálida luz a su alrededor."
candle,.lang,furniture\lang\spanish\candle.lang,Vela,"Una vela de cera en un candelero de latón. Curiosamente, nunca se apaga."
cargobox,.lang,furniture\lang\spanish\cargobox.lang,Caja de cargamento,Una caja de madera para almacenar y transportar productos.
cargoboxempty,.lang,furniture\lang\spanish\cargoboxempty.lang,Caja de cargamento - vacía,Una caja de madera para almacenar y transportar productos. Está vacía.
cargochest,.lang,furniture\lang\spanish\cargochest.lang,Baúl de cargamento,Una caja larga de madera para almacenar y transportar productos.
carvedpumpkin,.lang,furniture\lang\spanish\carvedpumpkin.lang,Calabaza tallada,Una calabaza festiva con una cara siniestra tallada en ella. Hay una vela encendida en su interior que la hace brillar con una luz inquietante.
