file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
abirdinthepaw,.lang,tasks\lang\spanish\abirdinthepaw.lang,Más vale un pájaro en pata...,"Me apetecen unos chochines para comer. Si alguien va al bosque más tarde, ¿podría cazar un par para mí? Gracias.","[neutral]Los [green]chochines[/green] son pajaritos de cuerpo redondo y patas cortas. Son fáciles de identificar una vez que los encuentras, pero pueden ser difíciles de detectar al principio.///[happy]Por suerte, son bastante comunes, así que no tendrás problemas en localizarlos. Con la habilidad que tienes, imagino que podrás conseguir un [green]chochín[/green] en poco tiempo.","[happy]¡Maravilloso! Justo lo que pedí. Estos [green]chochines[/green] me vendrán bien para la merienda de la tarde.///[neutral]Gracias por tu arduo trabajo, #player_name#. Aquí tienes unas [green]fichas de tarea[/green] como recompensa."
acompetition,.lang,tasks\lang\spanish\acompetition.lang,La competencia,¡Llamando a todos los gatos! Voy a organizar una competencia para ver quién puede atrapar presas más rápido. Quien gane recibirá una recompensa y podrá quedarse con lo que haya cazado.,"[playful]¿Viniste a preguntar por la competencia? Creí que estarías allá afuera, atrapando presas. ¡Porque eso es lo que están haciendo tus oponentes!///[happy]Pensé que una competición de caza sería una forma divertida de involucrar a la comunidad en un juego amistoso.///[neutral]¿Vas a participar, #player_name#? Si es así, ¡te aconsejo que empieces ahora!","[playful]¡La competencia ha finalizado! Demostraste ser quien caza más rápido en #colony_title_with_definite_article#. ¡No es poca cosa!///[happy]¡Ahora te toca la recompensa! Aquí están las [green]fichas de tarea[/green], como prometí.///[thinking]Espero que consideres donar una parte de tus presas a la reserva, pero eres libre de hacer lo que quieras. Felicitaciones por tu victoria."
aerialwarfare,.lang,tasks\lang\spanish\aerialwarfare.lang,Guerra aérea,"Se busca: una mariposa tropical. Esta pizarra es anónima, ¿verdad?","[hiss][angry]Oye, ¿cómo supiste que era yo? Pensé que las publicaciones en la pizarra de tareas eran anónimas. ¿Te imaginas si la colonia se enterara de que quiero una [green]mariposa tropical[/green]? ¡Sería humillante!///[thinking]¿Mi nombre realmente aparecía en la publicación? No puedo creerlo. Mis ojos deben haberme engañado.///[angry]No se lo menciones a nadie. Quitaste el anuncio, ¿verdad?","[thinking]Bueno, supongo que tengo que cumplir con mi parte del trato. Trajiste la [green]mariposa tropical[/green], así que te daré las [green]fichas de tarea[/green] como acordamos.///[angry]¡No te atrevas a contarle a nadie! ¿Me entendiste?"
ahankering,.lang,tasks\lang\spanish\ahankering.lang,Un antojo,¡Tengo muchas ganas de comer truchas! ¿Alguien podría pescar algunas para mí? ¡Mi estómago y yo se lo agradeceríamos!,"[shocked]¡Vaya! ¿Escuchaste eso? ¡Es mi estómago rugiendo! Me mareo de solo pensar en pescado.///[sad]Si no consigo hincar los colmillos en una [green]trucha[/green] pronto, moriré de hambre. Ojalá supiera nadar mejor, tal vez así podría atrapar algunas.","[happy]Oye, ¿acaso huelo lo que creo que es? ¡Mmm, una [green]trucha[/green]!///[shocked]Esos son los pescados más apetitosos que he visto. Son mejores de lo que esperaba, #player_name#.///[playful]Empezaré a comer si no te importa. Gracias por tu ayuda."
artproject,.lang,tasks\lang\spanish\artproject.lang,Proyecto de arte,"Me gustaría crear un mosaico con piedritas, pero no logro encontrar ninguna. ¿Alguien más sabe dónde buscar?","[happy]El otro día soñé con un hermoso mosaico que me encantaría recrear usando piedritas pintadas. Una vez que lo termine, ¡será el mejor proyecto de arte que haya hecho!///[shocked]El único problema es que no encuentro ninguna piedrita. ¡He buscado por todas partes! ¿Sabes dónde pueden estar?","[playful]¡Son justo lo que necesitaba! Casi había perdido la esperanza de hacer mi proyecto de arte.///[happy]Tomaré estos [green]escombros de roca[/green] y comenzaré a trabajar en el mosaico. Gracias por echarme una mano, #player_name#."
aspecialtreat,.lang,tasks\lang\spanish\aspecialtreat.lang,Una hierba especial,¡Hola! ¿Tienen algo de hierba gatera para compartir? Les agradecería que me la trajeran.,"[shocked]Sí, yo publiqué el anuncio sobre la [green]hierba gatera[/green]. Por casualidad, ¿tienes alguna de sobra?","[playful]¡Me pareció oler la [green]hierba gatera[/green]!///[happy]¿La conseguiste solo para mí? Gracias, #player_name#. ¡Eres genial!"
barkbark,.lang,tasks\lang\spanish\barkbark.lang,Bajo esa corteza,"He oído hablar sobre un escarabajo conocido como ""corteza"". Es raro y valioso, al igual que yo. Por eso es que debo adquirir un escarabajo así.","[thinking]Estaba en una conversación cuando alguien mencionó al [green]escarabajo de corteza[/green].///[playful]Dicen que el [green]escarabajo[/green] conocido como [green]de corteza[/green] es raro y valioso. ¿Es eso cierto, #player_name#?///[neutral]Si es así, entonces él y yo somos espíritus afines. Quiero tener uno. Comprendes mi deseo ¿verdad?///[thinking]Debes actuar rápido, porque el [green]escarabajo de corteza[/green] entrará en reposo cuando llegue la primavera.","[happy]Ahora veo por qué el [green]escarabajo[/green] conocido como [green]de corteza[/green] es valorado por tantos gatos. Nunca había visto un insecto tan hermoso como este.///[playful]Es apropiado para alguien como yo tener una criatura tan bella. Ahora está donde pertenece, conmigo, así como estas [green]fichas de tarea[/green] ahora te pertenecen."
berryblues,.lang,tasks\lang\spanish\berryblues.lang,Triste y azul,"¡Por más que lo intento, no logro encontrar arándanos! Pensé que serían fáciles de ver sobre la nieve, pero parece que no. ¿Alguien puede ayudarme?","[shocked]¡Oh, no los encuentro en ningún lado! ¿Alguna vez saborearé la dulzura de un [green]arándano[/green]?","[happy]¡Vaya, son los [green]arándanos[/green] más azules que he visto! ¿Eso significa que serán más sabrosos que otros arándanos?///[playful]Espero que no te importe si me los como ahora. ¡Se ven deliciosos!///[happy]Te agradezco que los hayas recolectado para mí."
busybee,.lang,tasks\lang\spanish\busybee.lang,Abejita zumbona,La abeja obrera es famosa por su habilidad para mejorar la calidad de las flores a su alrededor. Deseo estudiar algunas para aprender sus secretos.,"[neutral]Es sabido que la presencia de una colmena mejorará la calidad de todas las flores silvestres cercanas. ¿Cómo es posible?///[thinking]Intento resolver el misterio mediante la cuidadosa observación y el estudio de estas criaturas.///[neutral]Si obtuviera un par de [green]abejas[/green], mi investigación podría avanzar mucho más rápido.","[happy]¡Estas servirán para mi investigación! Veo que han sido manejadas con los cuidados necesarios que requieren.///[playful]Por supuesto, siempre es aconsejable manipular una [green]abeja[/green] con precaución, ¡no sea que su aguijón termine en tu pata!///[happy]Me alegra que las hayas encontrado para mí. Toma estas [green]fichas de tarea[/green] como pago por tus esfuerzos."
cavein,.lang,tasks\lang\spanish\cavein.lang,Derrumbe,Un desprendimiento de rocas reciente ha bloqueado nuestra ruta más importante en las minas. ¡Necesitamos que alguien la despeje!,"[neutral]Cada vez que cavamos una nueva ruta, pareciera que la cueva conspira en nuestra contra. Ayer terminamos de cavar un túnel, y ya está lleno de escombros. Qué mala suerte.///[neutral]¿Viniste a despejarlo? Tengo algunas [green]fichas de tarea[/green] para ti si logras hacerlo. ¡Menos charla y más trabajo!","[neutral]Oye, escuché muchos ruidos de excavación provenientes de la entrada de la cueva. Debes haber sudado bastante, ¿no?///[neutral]Está bien, aquí está tu recompensa. ¡Ahora vuelve al trabajo!"
