file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
abyssaloreitem,.lang,items\lang\spanish\abyssaloreitem.lang,Abyssal Ore,Mineral abismal,el,un,este,Un pedazo de mineral color negro azabache.
adderitem,.lang,items\lang\spanish\adderitem.lang,Adder,Víbora,la,una,esta,Un reptil venenoso con marcas oscuras.
alexandriteitem,.lang,items\lang\spanish\alexandriteitem.lang,Alexandrite,Alejandrita,la,una,esta,¡Una joya increíblemente escasa! Brilla en tonos rojos o verdes según qué tipo de luz le dé.
amanitaitem,.lang,items\lang\spanish\amanitaitem.lang,Amanita,Falsa oronja,la,una,esta,"Una misteriosa seta de sombrero rojo que viene en muchas variedades. Algunas son seguras, otras no. ¿Quién sabe qué efecto tendrá al comerla?"
amberitem,.lang,items\lang\spanish\amberitem.lang,Amber,Ámbar,el,un,este,Una deslumbrante resina oscura con tonos naranjas y dorados.
amethystitem,.lang,items\lang\spanish\amethystitem.lang,Amethyst,Amatista,la,a,esta,Deslumbrantes cristales morados brillan en el interior de esta piedra.
antlersaccessoryitem,.lang,items\lang\spanish\antlersaccessoryitem.lang,Antlers Accessory,Astas,las,unas,estas,Astas de reno festivas que recuerdan a los días nevados.
anvilfurnitureitem,.lang,items\lang\spanish\anvilfurnitureitem.lang,Anvil Furniture,Yunque,el,un,este,Estación de trabajo. Usa este yunque para acceder en cualquier momento a las recetas de la Fragua del Topo desde tu guarida.
aquamarineitem,.lang,items\lang\spanish\aquamarineitem.lang,Aquamarine,Aguamarina,la,una,esta,Un magnífico berilo del color del mar.
ashbeetleitem,.lang,items\lang\spanish\ashbeetleitem.lang,Ash Beetle,Barrenador,el,un,este,Un escarabajo de gran tamaño con un caparazón de color verde apagado.
autographitem,.lang,items\lang\spanish\autographitem.lang,Autograph,Autógrafo,el,un,este,Un autógrafo garabateado por Zephyr.
