file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
abyssaloreitem,.lang,items\lang\german\abyssaloreitem.lang,Abyssal Ore,Abyssal-Erz,das,ein,dieses,Ein dunkler Klumpen von tiefschwarzem Erz.
adderitem,.lang,items\lang\german\adderitem.lang,Adder,Kreuzotter,die,eine,diese,Eine giftige Kreatur mit dunkler Zeichnung.
alexandriteitem,.lang,items\lang\german\alexandriteitem.lang,Alexandrite,Alexandrit,der,ein,dieser,"Ein fabelhaftes, seltenes Juwel! Es scheint unter verschiedenen Lichtverhältnissen entweder rot oder grün zu leuchten."
amanitaitem,.lang,items\lang\german\amanitaitem.lang,Amanita,Fliegenpilz,der,ein,dieser,"Ein mysteriöser Rotkappenpilz, der in vielen Varianten vorkommt. Einige sind essbar, andere nicht. Wer weiß, was passiert, wenn man ihn isst?"
amberitem,.lang,items\lang\german\amberitem.lang,Amber,Bernstein,der,ein,dieser,Ein wunderschönes dunkles Harz mit Schattierungen von Orange und Gold.
amethystitem,.lang,items\lang\german\amethystitem.lang,Amethyst,Amethyst,der,ein,dieser,Aus dem Inneren dieses Steins leuchten schillernde lila Kristalle.
antlersaccessoryitem,.lang,items\lang\german\antlersaccessoryitem.lang,Antlers Accessory,Geweih,das,ein,dieses,"Festliches Rentiergeweih, das an verschneite Tage erinnert."
anvilfurnitureitem,.lang,items\lang\german\anvilfurnitureitem.lang,Anvil Furniture,Amboss,der,ein,dieser,"Handwerksstation. Benutze diesen Amboss, um jederzeit von deiner Höhle aus auf die Rezepte der Maulwurfsschmiede zugreifen zu können."
aquamarineitem,.lang,items\lang\german\aquamarineitem.lang,Aquamarine,Aquamarin,der,ein,dieser,Ein wundersamer Beryll in tiefem Blau.
ashbeetleitem,.lang,items\lang\german\ashbeetleitem.lang,Ash Beetle,Eschenprachtkäfer,der,ein,dieser,Ein großer Käfer mit einem gedämpften grünen Panzer.
autographitem,.lang,items\lang\german\autographitem.lang,Autograph,Autogramm,das,ein,dieses,Ein hastig gekritzeltes Autogramm von Zephyr.
autumn1recorditem,.lang,items\lang\german\autumn1recorditem.lang,Autumn 1 Record,Herbst 1,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine beruhigende Herbstmelodie."
autumn2recorditem,.lang,items\lang\german\autumn2recorditem.lang,Autumn 2 Record,Herbst 2,der,ein,dieser,"Eine Schallplatte, die du auf dem Plattenspieler in deiner Höhle abspielen kannst. Dieser Titel ist eine luftige Herbstmelodie."
