file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
anonymousgift,.lang,mail\lang\spanish\anonymousgift.lang,Buenos augurios,Honorable #player_name#:,"Tus hazañas son bien conocidas entre las estrellas y tu espíritu goza de gran estima. Has conseguido amistades poderosas en las alturas. Por favor, acepta este pequeño tributo a tu grandeza.",~???
anonymouswarning,.lang,mail\lang\spanish\anonymouswarning.lang,AdVeRtEnCiA,#player_name#:,¡CuIdAdO! EsTÁs LiDiAnDo cOn FuErZAs QuE nO CoMPrEnDeS. ¡¡No CoNtInÚeS BuScAnDo Al PiCO o El CaStIgO LlEgArÁ!!,~???
autumnalert,.lang,mail\lang\spanish\autumnalert.lang,¡El otoño ya está aquí!,"Hola, #player_name#.","¿Sientes el viento en tu pelaje? A medida que el clima se vuelve más frío, la naturaleza comienza a hibernar. Tómate tu tiempo para abastecerte de presas y hierbas antes de que empiece a nevar, te lo agradecerás más tarde. Además, ¡no pierdas de vista los hongos silvestres!",De #npc_name_coco#
coldbuttercup,.lang,mail\lang\spanish\coldbuttercup.lang,Tengo frío,"Hola, #player_name#:","Me estoy congelando. ¿Está más frío de lo normal este año? Ya no aguanto esta nieve. Ojalá el calor vuelva pronto. Oye, si encuentras algo cálido, tráemelo. ¿De acuerdo?",De #npc_name_buttercup#
congratskittensbob,.lang,mail\lang\spanish\congratskittensbob.lang,¡Mira eso!,¿Es verdad?,"Escuché que vas a tener mucho trabajo en los próximos meses. No recuerdo la última vez que supe de alguien que haya tenido cuatro crías a la vez. Debe ser una bendición. Bueno, te envío una comida, por si no pudiste salir a cazar recientemente.",¡Mucha suerte! De parte de #npc_name_bob#
congratskittenschamp,.lang,mail\lang\spanish\congratskittenschamp.lang,¿Son más?,"¿Qué tal, #player_name#?","¡Guau, tu familia se agrandó! ¿Ahora son seis? Qué locura. Toma algo de dinero para los gastos y todo eso. Buena suerte, la vas a necesitar.",¡Suena caro! -#npc_name_champ#
congratskittenscharlotte,.lang,mail\lang\spanish\congratskittenscharlotte.lang,Juguete encontrado,Hola.,"Escuché que ahora tienes crías. Qué bien. Como sea, encontré este juguete mientras daba un paseo. Pensé que tal vez era tuyo. Quédatelo de todos modos, no lo quiero. No es realmente lo mío.",De #npc_name_charlotte#
congratskittenscoco,.lang,mail\lang\spanish\congratskittenscoco.lang,Bebés,¡Acabo de recibir la noticia!,"No sé cuándo tendrás tiempo de leer esta carta, pero quería expresarte mi alegría al enterarme del nacimiento de tus crías. ¿Qué se siente tener una camada?","¡Qué dicha! Saludos, #npc_name_coco#."
congratskittensember,.lang,mail\lang\spanish\congratskittensember.lang,¡Qué alegría!,"Estimado/a #player_name#,","Escuché que les diste la bienvenida al mundo a cuatro nuevas crías. Qué alegría. Si alguna vez necesitas consejos, ven a buscarme. Sé lo difícil que puede ser al principio. (P.D. ¡La menta hace milagros si tus bebés tienen problemas para dormir!)",¡Ven a visitarme! #npc_name_ember#
congratskittensrosemary,.lang,mail\lang\spanish\congratskittensrosemary.lang,¡Hurra!,¡DEBO tener todos los detalles!,"¡NECESITO saber todos los detalles! ¿Crías? ¿Y CUATRO de ellas? Vaya, sí que tuviste una camada grande. Ven y cuéntame sobre tus bebés lo más pronto posible, ¿sí? Adjunto un pequeño regalo, creo que es apropiado para la ocasión. ¡Apúrate, cariño!",¡Cuéntamelo todo! -#npc_name_rosemary#
